NAME,GSS_CODE,HECTARES,NONLD_AREA,ONS_INNER,SUB_2009,SUB_2006
Kingston upon Thames,E09000021,3726.117,0.000,F,,
Croydon,E09000008,8649.441,0.000,F,,
Bromley,E09000006,15013.487,0.000,F,,
Hounslow,E09000018,5658.541,60.755,F,,
Ealing,E09000009,5554.428,0.000,F,,
Havering,E09000016,11445.735,210.763,F,,
Hillingdon,E09000017,11570.063,0.000,F,,
Harrow,E09000015,5046.330,0.000,F,,
Brent,E09000005,4323.270,0.000,F,,
Barnet,E09000003,8674.837,0.000,F,,
Lambeth,E09000022,2724.940,43.927,T,,
Southwark,E09000028,2991.340,105.139,T,,
Lewisham,E09000023,3531.706,16.795,T,,
Greenwich,E09000011,5044.190,310.785,F,,
Bexley,E09000004,6428.649,370.619,F,,
Enfield,E09000010,8220.025,0.000,F,,
Waltham Forest,E09000031,3880.793,0.000,F,,
Redbridge,E09000026,5644.225,2.300,F,,
Sutton,E09000029,4384.698,0.000,F,,
Richmond upon Thames,E09000027,5876.111,135.443,F,,
Merton,E09000024,3762.466,0.000,F,,
Wandsworth,E09000032,3522.022,95.600,T,,
Hammersmith and Fulham,E09000013,1715.409,75.648,T,,
Kensington and Chelsea,E09000020,1238.379,25.994,T,,
Westminster,E09000033,2203.005,54.308,T,,
Camden,E09000007,2178.932,0.000,T,,
Tower Hamlets,E09000030,2157.501,179.707,T,,
Islington,E09000019,1485.664,0.000,T,,
Hackney,E09000012,1904.902,0.000,T,,
Haringey,E09000014,2959.837,0.000,T,,
Newham,E09000025,3857.806,237.637,T,,
Barking and Dagenham,E09000002,3779.934,169.150,F,,
City of London,E09000001,314.942,24.546,T,,
