fid,Merged,xcoord,ycoord
"1",15,-0.44,51.4325
"2",15,-0.439444444444445,51.4325
"3",16,-0.438888888888889,51.4325
"4",15,-0.438333333333333,51.4325
"5",14,-0.437777777777778,51.4325
"6",13,-0.437222222222222,51.4325
"7",13,-0.436666666666667,51.4325
"8",15,-0.436111111111111,51.4325
"9",15,-0.435555555555556,51.4325
"10",15,-0.435,51.4325
"11",16,-0.434444444444445,51.4325
"12",16,-0.433888888888889,51.4325
"13",15,-0.433333333333333,51.4325
"14",16,-0.432777777777778,51.4325
"15",16,-0.432222222222222,51.4325
"16",13,-0.431666666666667,51.4325
"17",13,-0.431111111111111,51.4325
"18",14,-0.430555555555556,51.4325
"19",14,-0.43,51.4325
"20",14,-0.429444444444445,51.4325
"21",14,-0.428888888888889,51.4325
"22",13,-0.428333333333333,51.4325
"23",13,-0.427777777777778,51.4325
"24",14,-0.427222222222222,51.4325
"25",14,-0.426666666666667,51.4325
"26",15,-0.426111111111111,51.4325
"27",16,-0.425555555555556,51.4325
"28",15,-0.425,51.4325
"29",14,-0.424444444444445,51.4325
"30",15,-0.423888888888889,51.4325
"31",15,-0.423333333333333,51.4325
"32",14,-0.422777777777778,51.4325
"33",16,-0.422222222222222,51.4325
"34",16,-0.421666666666667,51.4325
"35",13,-0.421111111111111,51.4325
"36",12,-0.420555555555556,51.4325
"37",12,-0.42,51.4325
"38",13,-0.419444444444445,51.4325
"39",15,-0.418888888888889,51.4325
"40",16,-0.418333333333333,51.4325
"41",15,-0.417777777777778,51.4325
"42",12,-0.417222222222222,51.4325
"43",12,-0.416666666666667,51.4325
"44",14,-0.416111111111111,51.4325
"45",15,-0.415555555555556,51.4325
"46",14,-0.415,51.4325
"47",14,-0.414444444444445,51.4325
"48",14,-0.413888888888889,51.4325
"49",14,-0.413333333333333,51.4325
"50",13,-0.412777777777778,51.4325
"51",13,-0.412222222222222,51.4325
"52",13,-0.411666666666667,51.4325
"53",13,-0.411111111111111,51.4325
"54",11,-0.410555555555556,51.4325
"55",11,-0.41,51.4325
"56",12,-0.409444444444444,51.4325
"57",14,-0.408888888888889,51.4325
"58",15,-0.408333333333333,51.4325
"59",12,-0.407777777777778,51.4325
"60",11,-0.407222222222222,51.4325
"61",11,-0.406666666666667,51.4325
"62",13,-0.406111111111111,51.4325
"63",15,-0.405555555555556,51.4325
"64",15,-0.405,51.4325
"65",15,-0.404444444444444,51.4325
"66",16,-0.403888888888889,51.4325
"67",14,-0.403333333333333,51.4325
"68",14,-0.402777777777778,51.4325
"69",14,-0.402222222222222,51.4325
"70",15,-0.401666666666667,51.4325
"71",18,-0.401111111111111,51.4325
"72",18,-0.400555555555556,51.4325
"73",17,-0.4,51.4325
"74",19,-0.399444444444444,51.4325
"75",21,-0.398888888888889,51.4325
"76",21,-0.398333333333333,51.4325
"77",20,-0.397777777777778,51.4325
"78",20,-0.397222222222222,51.4325
"79",22,-0.396666666666667,51.4325
"80",22,-0.396111111111111,51.4325
"81",20,-0.395555555555556,51.4325
"82",19,-0.395,51.4325
"83",20,-0.394444444444444,51.4325
"84",21,-0.393888888888889,51.4325
"85",19,-0.393333333333333,51.4325
"86",18,-0.392777777777778,51.4325
"87",18,-0.392222222222222,51.4325
"88",18,-0.391666666666667,51.4325
"89",18,-0.391111111111111,51.4325
"90",18,-0.390555555555556,51.4325
"91",18,-0.39,51.4325
"92",19,-0.389444444444444,51.4325
"93",19,-0.388888888888889,51.4325
"94",19,-0.388333333333333,51.4325
"95",19,-0.387777777777778,51.4325
"96",18,-0.387222222222222,51.4325
"97",19,-0.386666666666667,51.4325
"98",19,-0.386111111111111,51.4325
"99",19,-0.385555555555556,51.4325
"100",20,-0.385,51.4325
"101",20,-0.384444444444444,51.4325
"102",20,-0.383888888888889,51.4325
"103",20,-0.383333333333333,51.4325
"104",21,-0.382777777777778,51.4325
"105",21,-0.382222222222222,51.4325
"106",20,-0.381666666666667,51.4325
"107",21,-0.381111111111111,51.4325
"108",22,-0.380555555555556,51.4325
"109",22,-0.38,51.4325
"110",22,-0.379444444444444,51.4325
"111",21,-0.378888888888889,51.4325
"112",21,-0.378333333333333,51.4325
"113",22,-0.377777777777778,51.4325
"114",23,-0.377222222222222,51.4325
"115",22,-0.376666666666667,51.4325
"116",21,-0.376111111111111,51.4325
"117",21,-0.375555555555556,51.4325
"118",21,-0.375,51.4325
"119",22,-0.374444444444444,51.4325
"120",22,-0.373888888888889,51.4325
"121",22,-0.373333333333333,51.4325
"122",22,-0.372777777777778,51.4325
"123",21,-0.372222222222222,51.4325
"124",22,-0.371666666666667,51.4325
"125",22,-0.371111111111111,51.4325
"126",22,-0.370555555555556,51.4325
"127",22,-0.37,51.4325
"128",21,-0.369444444444444,51.4325
"129",19,-0.368888888888889,51.4325
"130",20,-0.368333333333333,51.4325
"131",21,-0.367777777777778,51.4325
"132",20,-0.367222222222222,51.4325
"133",19,-0.366666666666667,51.4325
"134",21,-0.366111111111111,51.4325
"135",21,-0.365555555555556,51.4325
"136",20,-0.365,51.4325
"137",20,-0.364444444444444,51.4325
"138",21,-0.363888888888889,51.4325
"139",22,-0.363333333333333,51.4325
"140",22,-0.362777777777778,51.4325
"141",21,-0.362222222222222,51.4325
"142",20,-0.361666666666667,51.4325
"143",20,-0.361111111111111,51.4325
"144",21,-0.360555555555556,51.4325
"145",21,-0.36,51.4325
"146",20,-0.359444444444444,51.4325
"147",17,-0.358888888888889,51.4325
"148",15,-0.358333333333333,51.4325
"149",15,-0.357777777777778,51.4325
"150",17,-0.357222222222222,51.4325
"151",17,-0.356666666666667,51.4325
"152",17,-0.356111111111111,51.4325
"153",17,-0.355555555555556,51.4325
"154",15,-0.355,51.4325
"155",17,-0.354444444444444,51.4325
"156",16,-0.353888888888889,51.4325
"157",16,-0.353333333333333,51.4325
"158",17,-0.352777777777778,51.4325
"159",18,-0.352222222222222,51.4325
"160",18,-0.351666666666667,51.4325
"161",18,-0.351111111111111,51.4325
"162",17,-0.350555555555556,51.4325
"163",18,-0.35,51.4325
"164",19,-0.349444444444444,51.4325
"165",17,-0.348888888888889,51.4325
"166",17,-0.348333333333333,51.4325
"167",15,-0.347777777777778,51.4325
"168",15,-0.347222222222222,51.4325
"169",15,-0.346666666666667,51.4325
"170",15,-0.346111111111111,51.4325
"171",14,-0.345555555555556,51.4325
"172",13,-0.345,51.4325
"173",14,-0.344444444444444,51.4325
"174",13,-0.343888888888889,51.4325
"175",13,-0.343333333333333,51.4325
"176",13,-0.342777777777778,51.4325
"177",16,-0.342222222222222,51.4325
"178",18,-0.341666666666667,51.4325
"179",17,-0.341111111111111,51.4325
"180",15,-0.340555555555556,51.4325
"181",13,-0.34,51.4325
"182",13,-0.339444444444444,51.4325
"183",14,-0.338888888888889,51.4325
"184",14,-0.338333333333333,51.4325
"185",14,-0.337777777777778,51.4325
"186",13,-0.337222222222222,51.4325
"187",14,-0.336666666666667,51.4325
"188",14,-0.336111111111111,51.4325
"189",13,-0.335555555555556,51.4325
"190",12,-0.335,51.4325
"191",11,-0.334444444444444,51.4325
"192",12,-0.333888888888889,51.4325
"193",12,-0.333333333333333,51.4325
"194",13,-0.332777777777778,51.4325
"195",14,-0.332222222222222,51.4325
"196",13,-0.331666666666667,51.4325
"197",10,-0.331111111111111,51.4325
"198",10,-0.330555555555556,51.4325
"199",9,-0.33,51.4325
"200",10,-0.329444444444445,51.4325
"201",10,-0.328888888888889,51.4325
"202",10,-0.328333333333333,51.4325
"203",10,-0.327777777777778,51.4325
"204",7,-0.327222222222222,51.4325
"205",4,-0.325555555555556,51.4325
"206",5,-0.325,51.4325
"207",7,-0.324444444444445,51.4325
"208",9,-0.323888888888889,51.4325
"209",11,-0.323333333333333,51.4325
"210",11,-0.322777777777778,51.4325
"211",10,-0.322222222222222,51.4325
"212",10,-0.321666666666667,51.4325
"213",12,-0.321111111111111,51.4325
"214",13,-0.320555555555556,51.4325
"215",13,-0.32,51.4325
"216",10,-0.319444444444445,51.4325
"217",9,-0.318888888888889,51.4325
